cl_lo	cl_hi	ch_id.0	nch_id.0	key1	key2	key3	key4	lang	src	ft	version	dn	ndn	id	grade	subject	oleID	thumb
3	3		3SF03.00	Social Studies	Community	People		np	OLE	EP	2022	Our Rights	हाम्रो अधिकार	ort	grade3	science	sciort01	ePaath2022/images/activity-under-construction.png
3	3		3SF03.00	Social Studies	Community	People		np	OLE	EP	2022	One day of mine	मेरो एक दिन	med	grade3	science	scimed01	ePaath2022/images/thumb/nepali/thumnail_gr03_mero_ek_din01.png
3	3		3SF03.00	Social Studies	Community	People		np	OLE	EP	2022	A variety of substances	विभिन्न प्रकारका पदार्थहरू	tom	grade3	science	scitom01	ePaath2022/images/grade2/animal_food1.png
3	3		3SF10.00	Science	Earth			np	OLE	EP	2022	Weather	मौसम	wtr	grade3	science	sciwtr01	ePaath2022/images/activity-under-construction.png
3	3		3SF09.00	Social Studies	Arts	Media	Internet	np	OLE	EP	2022	Lets Save	बचत गरौँ	sav	grade3	science	scisav01	ePaath2022/images/activity-under-construction.png
3	3		3SF06.00	Science	Earth	Other Earth	Environment	np	OLE	EP	2022	Degradable and Non-Degradable Waste	कुहिने र नकुहिने  फोहर	dnw	grade3	science	scidnw01	ePaath2022/images/grade3/water_cycle.png
3	3		3SF05.00	Science	Biology	Ecology	Biosphere	np	OLE	EP	2022	Food Series	खाद्य श्रृङ्खला 	fch	grade3	science	scifch01	ePaath2022/images/thumb/science/thumnail_gr03_food_chain01.png
3	3		3SF10.03	Science	Earth	Climate	Atmosphere	np	OLE	EP	2022	Earth's Letters	पृथ्वीका पत्रहरू	oeh	grade3	science	scioeh01	ePaath2022/images/thumb/science/thumnail_gr03_our_earth01.png
3	3		3SF06.00	Science	Earth	Other Earth	Environment	np	OLE	EP	2022	Environmental pollution	वातावरण प्रदूषण	enp	grade3	science	scienp01	ePaath2022/images/activity-under-construction.png
3	3	3EN03.00		Social Studies	Community	Education		en	OLE	EP	2022	Simple Messages		sms	grade3	english	engsms01	ePaath2022/images/activity-under-construction.png
3	3	3EN03.00		Social Studies	Community	Education		en	OLE	EP	2022	Permission (May I)		pms	grade3	english	engpms01	ePaath2022/images/activity-under-construction.png
3	3	3EN10.00		Science	Biology			en	OLE	EP	2022	Animals in my village		aiv	grade3	english	engaiv01	ePaath2022/images/activity-under-construction.png
3	3	3EN02.00		Social Studies	Community	Everyday Life		en	OLE	EP	2022	Sentence formation		esf	grade3	english	engesf01	ePaath2022/images/activity-under-construction.png
3	3	3EN07.00		Science	IT			en	OLE	EP	2022	Friends and fruits		frf	grade3	english	engfrf01	ePaath2022/images/activity-under-construction.png
3	3	3EN01.00		Social Studies	Community	Social Organization	Family	en	OLE	EP	2022	What Raju disliked		raj	grade3	english	engraj01	ePaath2022/images/activity-under-construction.png
1	1	1M19	1M19	Mathematics	Measurement	Date & Time		en/np	OLE	EP	2022	Time	समय	tme	grade1	math	mattme01	ePaath2022/images/thumb/math/Thumbnail_Math_Gr_1_times_02.png
1	1	1M03	1M03	Mathematics	Geometry	Shapes		en/np	OLE	EP	2022	Geometric Shapes	ज्यामितीय आकारहरू	gss	grade1	math	matgss01	ePaath2022/images/activity-under-construction.png
1	1	1M04	1M04	Mathematics	Numbers			en/np	OLE	EP	2022	One to Twenty	एक देखि बिस	ntw	grade1	math	matntw01	ePaath2022/images/activity-under-construction.png
1	1	1M15	1M15	Mathematics	Numbers Natural			en/np	OLE	EP	2022	50 to 100	५० देखि १००	nhd	grade1	math	matnhd01	ePaath2022/images/activity-under-construction.png
1	1	1M12	1M12	Mathematics	Numbers	Even & Odd		en/np	OLE	EP	2022	Even and Odd	जोर र बिजोर	one	grade1	math	matone01	ePaath2022/images/thumb/math/Thumbnail_Math_gr1_odd_and_even_02.png
1	1	1M04	1M04	Mathematics	Numbers			en/np	OLE	EP	2022	1 to 50	१ देखि ५० सम्म	nft	grade1	math	matnft01	ePaath2022/images/activity-under-construction.png
