ndn	ch_id	cl_lo	cl_hi	lang	key1	key2	key3	key4	fn	ft	fp	src
कक्षा १० सुनाइ पाठ ६	10N06	10	10	np	Language	Nepali	Contexts	Conversation	कक्षा_१०_सुनाइ_पाठ_६.mp3	audio	../content/audio/Nepali LIstening Files/Grade 10 Listening Texts/	CEHRD
कक्षा १० सुनाइ पाठ ७	10N07	10	10	np	Language	Nepali	Contexts	Narration	कक्षा_१०_सुनाइ_पाठ_७.mp3	audio	../content/audio/Nepali LIstening Files/Grade 10 Listening Texts/	CEHRD
कक्षा १० सुनाइ पाठ ८	10N08	10	10	np	Social Studies	Geography	Asia	Nepal	कक्षा_१०_सुनाइ_पाठ_८.mp3	audio	../content/audio/Nepali LIstening Files/Grade 10 Listening Texts/	CEHRD
कक्षा १० सुनाइ पाठ ९	10N09	10	10	np	Language	Nepali	Contexts	Identity	कक्षा_१०_सुनाइ_पाठ_९.mp3	audio	../content/audio/Nepali LIstening Files/Grade 10 Listening Texts/	CEHRD
कक्षा १० सुनाइ पाठ १०	10N10	10	10	np	Language	Nepali	Contexts	Conversation	कक्षा_१०_सुनाइ_पाठ_१०.mp3	audio	../content/audio/Nepali LIstening Files/Grade 10 Listening Texts/	CEHRD
कक्षा १० सुनाइ पाठ ११	10N11	10	10	np	Language	Nepali	Contexts	Narration	कक्षा_१०_सुनाइ_पाठ_११.mp3	audio	../content/audio/Nepali LIstening Files/Grade 10 Listening Texts/	CEHRD
कक्षा १० सुनाइ पाठ १२	10N12	10	10	np	Language	Nepali	Contexts	People	कक्षा_१०_सुनाइ_पाठ_१२.mp3	audio	../content/audio/Nepali LIstening Files/Grade 10 Listening Texts/	CEHRD
कक्षा १० सुनाइ पाठ १३	10N13	10	10	np	Language	Nepali	Contexts	Identity	कक्षा_१०_सुनाइ_पाठ_१३.mp3	audio	../content/audio/Nepali LIstening Files/Grade 10 Listening Texts/	CEHRD
कक्षा १० सुनाइ पाठ १४	10N14	10	10	np	Social Studies	Community	Everyday Life	Family	कक्षा_१०_सुनाइ_पाठ_१४.mp3	audio	../content/audio/Nepali LIstening Files/Grade 10 Listening Texts/	CEHRD
कक्षा १० सुनाइ पाठ १५	10N15	10	10	np	Science	Earth	Other Earth	Natural Resources	कक्षा_१०_सुनाइ_पाठ_१५.mp3	audio	../content/audio/Nepali LIstening Files/Grade 10 Listening Texts/	CEHRD
कक्षा १० सुनाइ पाठ १६	10N16	10	10	np	Language	Nepali	Contexts	Narration	कक्षा_१०_सुनाइ_पाठ_१६.mp3	audio	../content/audio/Nepali LIstening Files/Grade 10 Listening Texts/	CEHRD
कक्षा १० सुनाइ पाठ १७	10N17	10	10	np	Language	Nepali			कक्षा_१०_सुनाइ_पाठ_१७.mp3	audio	../content/audio/Nepali LIstening Files/Grade 10 Listening Texts/	CEHRD
