	7SS09.04 सामाजिक सञ्जालको दुरुपयोग र त्यसका असरहरू	7SS09.04					7	7	np	Social Studies	Issues	Other Issues			7SS09.04_सामाजिक_सञ्जालको_दुरुपयोग_र_त्यसका_असरहरू.json	game																					
	7SS09.04 साइबर अपराध र यसका प्रकार	7SS09.04					7	7	np	Social Studies	Issues	Other Issues			7SS09.04_साइबर_अपराध_र_यसका_प्रकार.json	game																					
	"7SS09.05 लक्षण, रोकथाम र तथ्यहरू"	7SS09.05					7	7	np	Social Studies	Issues	Solutions			7SS09.05_लक्षण_रोकथाम_र_तथ्यहरू.json	game																					
	7SS09.05 नोबेल शान्ति पुरस्कार २०२०	7SS09.05					7	7	np	Social Studies	Issues	Solutions			7SS09.05_नोबेल_शान्ति_पुरस्कार_२०२०.json	game																					
Addition of Two Digit Numbers		1M16					1	3	en	Mathematics	Arithmetic	Addition & Subtraction		Addition_of_Two_Digit_Numbers.mp4		video																					
Addition Problems		1M10					1	2	en	Mathematics	Arithmetic	Addition & Subtraction		Addition_Problems.mp4		video																					
Introduction to Addition		1M10					1	2	en	Mathematics	Arithmetic	Addition & Subtraction		Introduction_to_Addition.mp4		video																					
Left and Right		1M01					1	2	en	Mathematics	Other Mathematics	Symbols		Left_and_Right.mp4		video																					
Long and Short		1M01					1	3	en	Mathematics	Measurement	Length		Long_and_Short.mp4		video																					
Shapes and Space		1M01					1	3	en	Mathematics	Geometry	Shapes		Shapes_and_Space.mp4		video																					
Single Digit Subtraction		1M08					1	2	en	Mathematics	Arithmetic	Addition & Subtraction		Single_Digit_Subtraction.mp4		video																					
Subtraction of Two Digit Numbers		1M17					1	3	en	Mathematics	Arithmetic	Addition & Subtraction		Subtraction_of_Two_Digit_Numbers.mp4		video																					
Subtraction with Examples		1M08	1M11				1	2	en	Mathematics	Arithmetic	Addition & Subtraction		Subtraction_with_Examples.mp4		video																					
The Number Zero		1M05					1	1	en	Mathematics	Numbers	Integers		The_Number_Zero.mp4		video																					
Two Digit Subtraction Part 1		1M11					1	2	en	Mathematics	Arithmetic	Addition & Subtraction		Two_Digit_Subtraction_Part_1.mp4		video																					
Two Digit Subtraction Part 2		1M11					1	2	en	Mathematics	Arithmetic	Addition & Subtraction		Two_Digit_Subtraction_Part_2.mp4		video																					
Hello Song		2EN00.01					1	2	en	Language	English	Form	Song	Hello_Song.mp4		video																					
The Family Tree		2EN01.01					2	5	en	Social Studies	Community	Everyday Life	Family	The_Family_Tree.mp4		video																					
Fruits Vocabulary		2EN08.01	2EN08.03				2	5	en	Language	English	Grammar	Vocabulary	Fruits_Vocabulary.mp4		video																					
Fruit song for kids		2EN08.01	2EN08.03				2	3	en	Language	English	Form	Song	Fruit_song_for_kids.mp4		video																					
Positions of object		2EN00.02					1	3	en	Language	English	Grammar	Prepositions	Positions_of_object.mp4		video																					
"Head, Shoulders, Knees and Toes Song"		2EN01.05	1EN03.01				1	3	en	Science	Medicine	Human Body	Holistic	Head_Shoulders_Knees_and_Toes_Song.mp4		video																					
Things to Keep Your Body Clean		2EN01.06					2	4	en	Science	Medicine	Healthy Living	Personal Hygiene	Things_to_Keep_Your_Body_Clean.mp4		video																					
Weekend Activities For Kids		2EN02.04					2	4	en	Social Studies	Community	Everyday Life	Recreation	Weekend_Activities_For_Kids.mp4		video																					
Types of clothes		2EN05.03					2	4	en	Social Studies	Community	Everyday Life	Clothing	Types_of_clothes.mp4		video																					
Job song		2EN06.01					2	4	en	Social Studies	Economy	Occupations	Other Occupations	Job_song.mp4		video																					
Months of the year		2EN06.03					2	3	en	Language	English	Contexts	Time & Date	Months_Of_The_Year.mp4		video																					
Vegetable vocabulary		2EN08.02	2EN08.03				1	3	en	Science	Biology	Plants	Vegetable	Vegetable_vocabulary.mp4		video																					
Healthy meal song		2EN08.02					1	3	en	Science	Medicine	Healthy Living	Nutrition	Healthy_meal_song.mp4		video																					
