addition	जोड
cheap	 सस्तो
cheese	चिज
chickenpox	ठेउला
child	बच्चा 
chilly	खुर्सानी
Chitwan	चितवन 
chocolate	चकलेट
chowmein	  चाउमिन
clean	सफा
close	 बन्द गर्नु
coconut	नरिवल
cold	जाडो
colour	रंग
common cold	रुघा
contagious disease	सरुवा रोग
coriander	धनिया
corona	कोरोना
correct	 ठिक
cough	 खोकी
cowpea	बोडी
critical	सिकिस्त
cucumber	काँक्रो
curd	दही
Dadeldhura	 डडेल्धुरा
Dailekh	दैलेख 
Dang	दाङ 
Darchula	 दार्चुला
daughter	 छोरी
delicious	 मिठो 
Dhading	 धादिङ 
Dhankuta	धनकुटा
Dhanusa	 धनुषा 
diabetes	मधुमेह 
diarrhea	पखाला लाग्नु
didn’t understand	बुझेन
difficult	 गाह्रो
dirty	फोहर
disease	रोग
distinct	फरक
district	 जिल्ला
doctor	डाक्टर
Dolakha	दोलखा
Dolpa	 डोल्पा
don’t know	थाहा छैन
don’t like	मनपर्दैन
done	भयो
Doti	 डोटी
easy	 सजिलो
egg	अण्डा
elder brother	दाइ
elder sister	दिदी
eldest female	जेठी
eldest male	 जेठा
English alphabets	अङ्ग्रेजी वर्णमाला 
equal	 समान, बराबर
exists	 छ
expensive	महँगो
family	परिवार
fat	 मोटो
father	बुबा 
father’s sister	 फुपू
fever	ज्वरो
first aid	प्राथमिक उपचार
fish	 माछा
food	 खाना
free	निःशुल्क
fruits	फलफूल 
funnel cake	जलेबी, जेरी
furuncle	खटिरा
garlic	लसुन
ghee	 ध्यू
ginger	अदुवा
golden	  सुनौलो
good	 असल
gooseberry	अमला
Gorkha	गोरखा
granddaughter	नातिनी
grandfather	हजुरबुबा 
grandmother	हजुरआमा
grandson	नाती
grapes	अंगूर
green	 हरियो
guava	अम्बा
Gulmi	 गुल्मी
halwa	हलुवा
hard	गाह्रो
headache	टाउको दुख्नु
health	 स्वास्थ्य
healthy	निरोगी
heart-attack	हृदयघात
herbal medicine	जडिबुटी
hospital	अस्पताल
hot	 गर्मी
Humla	हुम्ला 
husband	श्रीमान्
ice-cream	आइसक्रिम
Illam	इलाम
incorrect	बेठिक, गल्ती 
injection	सुई
injured	घाइते
inside	भित्र
is not	छैन
jackfruit	कटहर
Jajarkot	जाजरकोट
jaundice	जन्डिस
Jhapa	झापा 
Jumla	जुम्ला 
Kailali	कैलाली 
Kalikot	जुम्ला 
Kanchanpur	कञ्चनपुर
Kapilvastu	कपिलवस्तु
karate	कराँते
Kaski	कास्की
Kathmandu	 काठमाडौं
Kavre	काभ्रे
Khotang	खोटाङ
know	 थाहा छ
Lalitpur	 ललितपुर
Lamjung	लमजुङ 
late	  ढिलो
lemon	कागती
lentil	दाल
leprosy	कुष्ठरोग
like	मनपर्छ
little sister	बहिनी
little	थोरै
long	लामो
lunch	 खाना
Mahottari	 महोत्तरी
Makawanpur	मकवानपुर
Manang	मनाङ
mango	 आँप
maroon	 कलेजी
maternal aunt	माइज्यू
maternal uncle	मामा
meat	 मासु
medicine	औषधी
menstruation	रजस्वला
milk	दुध
mo mo	म:म 
Morang	 मोरङ
mother	 आमा
Mugu	मुगु
mushroom	च्याउ
Mustang	 मुस्ताङ 
Myagdi	 म्याग्दी
namaste	नमस्ते
Nawalparasi	 नवलपरासी
Nepali alphabets	व्यञ्जन वर्ण
nephew	भान्जा
niece	भान्जी
no	होइन
noodles	चाउचाउ
not done	भएन
not nice	नराम्रो
not possible	 हुँदैन
not required	पर्दैन
numbers 0-20	०-२० अंक
nurse	नर्स
Nuwakot	नुवाकोट
